Tür,İlaç,Ruhsat Sahibi,İthal/Yerli,İmal,Menşei,İthalatçı,İhracatçı,Takdim,Etken Madde,Grup,Uygulama,Türler,Açıklama
İlaç,AMPRONET,Netfarma İlaç Ve Premiks San.ltd.şti.,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,1000 ml ve 2500 ml'lik HDPE şişelerde kutusuz olarak ve 100 ml HDPE şişelerde kutulu olarak,"1ml ürün içinde ;250mg(221,1 mg Amprolyuma eşdeğer) amprolyum HCl, 2mg Vit. K3",antiprotozoon,oral,"Hindi (Et), Hindi (Yumurta), Tavuk (Et), Tavuk (Yumurta)",
İlaç,AMPROSEM,Pharma-sem İlaç San. Ve Tic. Ltd. Şti.,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,1 ve 2.5 litrelik PE şişelerde satışa sunulmaktadır.,"1ml ürün içinde ;250mg(221,45 mg amprolyum baza eşdeğer) amprolyum HCl",antiprotozoon,oral,"Hindi (Et), Hindi (Yumurta), Tavuk (Et), Tavuk (Yumurta)",
İlaç,AMPROVİD,SANTAVET İLAÇ SAN. TİC. LTD. ŞTİ.,Yerli,ALBAFARMA İLAÇ VE PREMİKS SAN.LTD. ŞTİ,-,-,-,"100 ml 'lik beyaz polietilen şişelerde kutulu olarak; 1 lt, 2,5lt, 5 lt ve 10 lt'lik beyaz polietilen şişelerde kutusuz olarak satışa sunulmuştur.","1ml ürün içinde ;271,1mg(240mg amprolyuma eşdeğer) amprolyum HCl",antiprotozoon,oral,"Hindi (Et), Tavuk (Et), Hindi (Yumurta), Tavuk (Yumurta), kanatlı hayvanlar",
İlaç,AMPROVİL,Vilsan Veteriner İlaçları Tic. San. A.ş,Yerli,Vilsan Veteriner İlaçları Tic. San. A.ş,-,-,-,"Karton kutu içerisinde; 100ml, 500 ml, 1L, 3L ve 5L'lik beyaz polietilen şişelerde","1ml ürün içinde ;200mg (226,19 Amprolyum Hcl) amprolyum",antiprotozoon,oral,"Hindi (Et), Tavuk (Yumurta), Hindi (Yumurta), Tavuk (Et), kanatlı",
İlaç,ANAFLEX %0.5,Hektaş Ticaret A.ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"Karton kutuda 20, 50 ve 100 ml'lik renksiz cam şişelerde takdim edilmektedir.",1 ml ürün içinde ;5 mg meloksikam,antienflamatuvar-analjezik,enjeksiyonluk,"Sığır(Besi), Sığır(Süt)",pazarlama izni 18.06.2017'ye kadar uzatılmıştır
İlaç,ANAFLOKSİN,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Mefar İlaç San. A.ş.,-,-,-,50-100 ve 250 ml'lik Tip II amber renkli şişelerde prospektüsü ile birlikte karton kutu,1 ml ürün içinde ;100 mg enrofloksasin,antibakteriyel,enjeksiyonluk,"Koyun (Besi), Sığır(Süt), Sığır(Besi)",
İlaç,ANAGEN %10,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Mefar İlaç San. A.ş.,-,-,-,20-50-100 mllik kahverengi cam flakonlar karton kutularda,1 ml ürün içinde ;100 mg (baza eşdeğer) gentamisin sülfat,antibakteriyel,enjeksiyonluk,"At, Sığır(Süt), Sığır(Besi), Kedi, Köpek",
İlaç,ANALGİN %30,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,İthal,Biovet Joint Stock Company,Biovet Joint Stock Company,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,Biovet Joint Stock Company,Karton kutularda 50 ml ve 100 ml çözelti içeren bal renkli cam şişelerde satışa sunulmuştur.,1 ml ürün içinde ;300 mg metamizol sodyum,antienflamatuvar-analjezik,enjeksiyonluk,"At, Köpek, Sığır(Süt), Kedi, Sığır(Besi)",
İlaç,ANAMİCİNE LA,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Mefar İlaç San. A.ş.,-,-,-,"Karton kutu içerisinde, 25 – 50 – 100 ve 250 ml'lik amber renkli flakonlarda kutulu",1 ml ürün içinde ;200 mg (baza eşdeğer) oksitetrasiklin dihidrat,antibakteriyel,enjeksiyonluk,"Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",
İlaç,ANASEL-E,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Mefar İlaç San. A.ş.,-,-,-,20 - 50 ve 100 ml.'lik kahve renkli cam flakonlarda kutulu,"1 ml ürün içinde ;1 mg (baza eşdeğer) sodyum selenit, 60 mg Vit. E",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Koyun (Besi), Sığır(Süt), Kedi, Sığır(Besi), Keçi (Besi), Keçi (Süt), Koyun (Süt), Köpek","Buzağı,tay,oğlak ve kuzuda"
İlaç,ANFENZAN,Mam-vet Vet. İlaç Aşı Medikal Malz. Kim. Ham. Hayv. Ürün. İth. İhr. San. Ve Tic. Ltd. Şti.,Yerli,ALBAFARMA İLAÇ VE PREMİKS SAN.LTD. ŞTİ,-,-,-,"Karton kutu içinde; 10,20, 50 adet içeren blister ambalajlarda sunulmuştur.","1tablet ürün içinde ;300mg oksifendazol , 600mg oksiklozanid",antihelmintik,oral,"Koyun (Besi), Sığır(Besi), Sığır(Süt)",
İlaç,ANFENZAN,Mam-vet Vet. İlaç Aşı Medikal Malz. Kim. Ham. Hayv. Ürün. İth. İhr. San. Ve Tic. Ltd. Şti.,Yerli,ALBAFARMA İLAÇ VE PREMİKS SAN.LTD. ŞTİ,-,-,-,"Karton kutu içinde; 10,20, 50 adet içeren blister ambalajlarda sunulmuştur.","1tablet ürün içinde ;300mg oksifendazol , 600mg oksiklozanid",antihelmintik,oral,"Koyun (Besi), Sığır(Besi), Sığır(Süt)",
İlaç,ANİLJİN,Ani-med Animal Medicine İlaç San. ve Tic. Ltd. Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"Karton kutu içinde 20 ml, 50 ml ve 100 ml'lik bal renkli cam şişelerde satışa sunulmuştur.",1 ml ürün içinde ;500 mg metamizol sodyum,antienflamatuvar-analjezik,enjeksiyonluk,"At, Köpek, Sığır(Besi)",
İlaç,ANİMAR,Dsm Besin Maddeleri Ltd.şti.,Yerli,Mefar İlaç San. A.ş.,-,-,-,50 ve 100 ml'lik kahverengi tip 1 cam şişelerde karton kutuda,"1 ml ürün içinde ;200 mg sülfadoksin, 40 mg trimetoprim",antibakteriyel,enjeksiyonluk,"At, Koyun (Süt), Sığır(Süt), Kedi, Sığır(Besi), Keçi (Besi), Keçi (Süt), Koyun (Besi), Köpek",
İlaç,ANİMAR,Dsm Besin Maddeleri Ltd.şti.,Yerli,Mefar İlaç San. A.ş.,-,-,-,50 ve 100 ml'lik kahverengi tip 1 cam şişelerde karton kutuda,"1 ml ürün içinde ;200 mg sülfadoksin, 40 mg trimetoprim",antibakteriyel,enjeksiyonluk,"At, Koyun (Süt), Sığır(Süt), Kedi, Sığır(Besi), Keçi (Besi), Keçi (Süt), Koyun (Besi), Köpek",
İlaç,ANİPRACİT,Bavet İlaç San. Ve Tic. A.ş,İthal,Animedica Gmbh,Animedica Gmbh,Bavet İlaç San. Ve Tic. A.ş,Animedica Gmbh,Karton kutu içinde 10 ml'lik hidrolitik Tip II kahverengi cam şişelerde,"1 ml ürün içinde ;56,8 mg prazikuantel",antihelmintik,enjeksiyonluk,"Kedi, Köpek",
İlaç,ANİPRAZOL KK,Bavet İlaç San. Ve Tic. A.ş,İthal,Animedica Gmbh,Animedica Gmbh,Bavet İlaç San. Ve Tic. A.ş,Animedica Gmbh,Karton kutu içinde 30 tablet içeren blister ambalajda sunulmaktadır.,"1 tablet ürün içinde ;50mg prazikuantel, 500mg fenbendazol",antihelmintik,oral,"Kedi, Köpek",
İlaç,ANİPRAZOL KK,Bavet İlaç San. Ve Tic. A.ş,İthal,Animedica Gmbh,Animedica Gmbh,Bavet İlaç San. Ve Tic. A.ş,Animedica Gmbh,Karton kutu içinde 30 tablet içeren blister ambalajda sunulmaktadır.,"1 tablet ürün içinde ;50mg prazikuantel, 500mg fenbendazol",antihelmintik,oral,"Kedi, Köpek",
İlaç,ANOREX-B,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"karton kutu içerisinde 20, 50, 100 ml'lik ve plastik kutu içerisinde 250 ml'lik amber renkli cam flakonlarda","1 mL ürün içinde ;100 mg Vit. B1, 10 mg Vit. B6",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Kedi, Koyun (Besi), Koyun (Süt), Köpek, Sığır(Besi), Sığır(Süt)",
İlaç,ANOREX-B,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"karton kutu içerisinde 20, 50, 100 ml'lik ve plastik kutu içerisinde 250 ml'lik amber renkli cam flakonlarda","1 mL ürün içinde ;100 mg Vit. B1, 10 mg Vit. B6",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Kedi, Koyun (Besi), Koyun (Süt), Köpek, Sığır(Besi), Sığır(Süt)",
Aşı,Ant Etvac,Etlik Merkez Veteriner Kontrol ve Araştırma Enstitüsü Müdürlüğü,Yerli,Etlik Merkez Veteriner Kontrol ve Araştırma Enstitüsü Müdürlüğü,-,-,-,50 ml,"ml ürün içinde ;100000000/doz Bacillus anthracis 34F2, %50 Gliserin, %50 Fizyolojik Tuzlu Su, % 0,1-0,025 Saponin",,enjeksiyonluk,"At, Sığır, Keçi, Koyun, Manda",
Aşı,Ant Etvac,Etlik Merkez Veteriner Kontrol ve Araştırma Enstitüsü Müdürlüğü,Yerli,Etlik Merkez Veteriner Kontrol ve Araştırma Enstitüsü Müdürlüğü,-,-,-,50 ml,"ml ürün içinde ;100000000/doz Bacillus anthracis 34F2, %50 Gliserin, %50 Fizyolojik Tuzlu Su, % 0,1-0,025 Saponin",,enjeksiyonluk,"At, Sığır, Keçi, Koyun, Manda",
Aşı,Ant Etvac,Etlik Merkez Veteriner Kontrol ve Araştırma Enstitüsü Müdürlüğü,Yerli,Etlik Merkez Veteriner Kontrol ve Araştırma Enstitüsü Müdürlüğü,-,-,-,50 ml,"ml ürün içinde ;100000000/doz Bacillus anthracis 34F2, %50 Gliserin, %50 Fizyolojik Tuzlu Su, % 0,1-0,025 Saponin",,enjeksiyonluk,"At, Sığır, Keçi, Koyun, Manda",
Aşı,Ant Etvac,Etlik Merkez Veteriner Kontrol ve Araştırma Enstitüsü Müdürlüğü,Yerli,Etlik Merkez Veteriner Kontrol ve Araştırma Enstitüsü Müdürlüğü,-,-,-,50 ml,"ml ürün içinde ;100000000/doz Bacillus anthracis 34F2, %50 Gliserin, %50 Fizyolojik Tuzlu Su, % 0,1-0,025 Saponin",,enjeksiyonluk,"At, Sığır, Keçi, Koyun, Manda",
İlaç,ANTHELCİDE ® EQ,ZOETİS HAYVAN SAĞLIĞI LTD.ŞTİ.,İthal,Zoetis Inc.,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,Karton kutu içerisinde 24 g pat içeren beyaz renkli yüksek yoğunluklu polietilen enjektörler içinde sunulmuştur.,24g ürün içinde ;%22.7 oksibendazol,antihelmintik,oral,At,
İlaç,ANTİSEDAN,ZOETİS HAYVAN SAĞLIĞI LTD.ŞTİ.,İthal,"Orion Corporation Orion Pharma, Espoo site Orionintie 1, FIN-02200 Espoo Finlandiya","Orion Corporation Orion Pharma, Espoo site Orionintie 1, FIN-02200 Espoo Finlandiya",Pfizer İlaçları Limited Şirketi,"Orion Corporation Orion Pharma, Espoo site Orionintie 1, FIN-02200 Espoo Finlandiya",Karton kutu içerisinde 10 ml'lik renksiz cam flakonlarda sunulmuştur.,1 ml ürün içinde ;5 mg Atipamezol HCl,analeptik,enjeksiyonluk,Köpek,"Piyasaya arz ve ithalat için yetki devri, Pfızer Hayvan Sağlığı Ltd. Şti.'ne verilmiştir."
İlaç,ANTISTAMIN-C,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,Yerli,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,-,-,-,"Karton kutuda 20 , 50 ve 100 ml.lik bal rengi cam şişelerde arzedilir.",1 ml ürün içinde ;25 mg klorfenamin,antihistaminik,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Sığır(Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi)",
İlaç,APIGUARD,Bavet İlaç San. Ve Tic. A.ş,İthal,VITA (EUROPE) LIMITED,VITA (EUROPE) LIMITED,Bavet İlaç San. Ve Tic. A.ş,Laleham Health and Beauty Ltd.,Karton kutu içerisinde;10 adet 50 g'lık kapaklı alüminyum kaseler 24 veya 40 adet 25g'lık alüminyum poşetlerde ve 3kg'lık alüminyum kaselerde,1g ürün içinde ;250mg timol,ektoparaziter,kovan içi,Arı,
İlaç,APISTAN %10,Bavet İlaç San. Ve Tic. A.ş,İthal,Wellmark International (Central Life Sciences),VITA (EUROPE) LIMITED,Bavet İlaç San. Ve Tic. A.ş,Wellmark International (Central Life Sciences),"her biri 8 g olan 10 adet arı kovan şeridi içeren lamine folyo poşette, kağıt muhafaza içerisinde satışa sunulmaktadır.",1g ürün içinde ;824mg Tau-fluvalinate,ektoparaziter,kovan içi,Arı,
İlaç,APİVAR,Civan Arıcılık Tekstil Kalıp San.ve Tic.ltd.şti.,İthal,WYJOLAB - Za,VETO PHARMA,Civan Arıcılık Tekstil Kalıp San.ve Tic.ltd.şti.,VETO PHARMA,Vakumlu alüminyum poşet içerisinde 20x2 cm. ebadında 10 adet veya 20x2 cm. ebadında 20 adet plastik şerit içerir.,1 adet şerit ürün içinde ;500 mg. amitraz,ektoparaziter,kovan içi,Arı,
İlaç,APODERM,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,İthal,"LABORATORİOS OVEJERO S.A.,","LABORATORİOS OVEJERO S.A.,",Ege Vet Hayvancılık San. Ve Tic.ltd Şti.,"LABORATORİOS OVEJERO S.A.,","Sprey şeklinde, 335 ml'lik alüminyum kutularda",100 ml ürün içinde ; 2 g (baza eşdeğer) klortetrasiklin HCl,antibakteriyel,haricen-deri,"At, Keçi (Besi), Hindi (Yumurta), Sığır(Süt), Keçi (Süt), Koyun (Süt), Tavuk (Yumurta), Hindi (Et), Kedi, Koyun (Besi), Köpek, Sığır(Besi), Tavuk (Et), Kanatlı, domuz",
İlaç,AQUAMECTİN %0.2/VİP,Netfarma İlaç Ve Premiks San.ltd.şti.,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,1 ve 2.5 kg'lık polietilen plastik (HDPE) kavonozlarda kutusuz olarak,1g ürün içinde ;2mg emamektin benzoat,endektosit,yem-ilaçlı premiks,"Balık, Atlantik somonları ve Gökkuşağı Alabalığı",Atlantik somonları ve Gökkuşağı Alabalığı
İlaç,AQUATETRA 50,Fmd Aşı İlaç San.ve Tic.ltd.şti.,İthal,Sc Dellos Impex,Sc Dellos Impex,Fmd Aşı İlaç San.ve Tic.ltd.şti.,Sc Dellos Impex,"100, 200, 500 gramlık, 1, 5 ve 10 kg'lık gramlık polietilen kaplı alüminyum folyo poşetlerde",1 gr ürün içinde ;500 mg oksitetrasiklin HCl,antibakteriyel,oral,Balık,
İlaç,AQUATRİL 50,Fmd Aşı İlaç San.ve Tic.ltd.şti.,İthal,Sc Dellos Impex,Sc Dellos Impex,Fmd Aşı İlaç San.ve Tic.ltd.şti.,Sc Dellos Impex,"100, 200, 500, 1000, 5000 ve 10.000 gramlık polietilen kaplı alüminyum folyo poşetlerde",1 gr ürün içinde ;500 mg enrofloksasin HCl,antibakteriyel,oral,Balık,
Aşı,Aquavac ERM,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,İthal,CZ Veterinaria S.A.,CZ Veterinaria S.A.,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,Intervet/Schering-Plough Animal Health,1000 ml.,ml ürün içinde ;0 Yersinia ruckeri F154,,enjeksiyonluk,"Balık, Gökkuşağı alabalıkları",
Aşı,Aquavac Photobac Boost,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,İthal,CZ Veterinaria S.A.,CZ Veterinaria S.A.,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,Intervet/Schering-Plough Animal Health,1000 ml.,ml ürün içinde ;0 Photobacterium damselae subspecies piscicida,,enjeksiyonluk,"Balık, çipura, levrek",
Aşı,Aquavac Photobac Prime,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,İthal,CZ Veterinaria S.A.,CZ Veterinaria S.A.,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,CZ Veterinaria S.A.,1000 ml.,1 ürün içinde ;1 Photobacterium damselae subspecies piscicida,,enjeksiyonluk,"Balık, Levrek, çipura",
Aşı,Aquavac Vibrio (AquavacTM Vibrio),Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,İthal,CZ Veterinaria S.A.,CZ Veterinaria S.A.,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,CZ Veterinaria S.A.,1000 ml.,1 ürün içinde ;1 Vibrio anguillarum,,enjeksiyonluk,"Balık, levrek,çipura ,gökkuşağı alabalığı",
Aşı,Aquavac Vibrio Pasteurella,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,İthal,CZ Veterinaria S.A.,CZ Veterinaria S.A.,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,CZ Veterinaria S.A.,1000 ml.,"1 ürün içinde ;1 Vibrio anguillarum, 1 Photobacterium damselae",,enjeksiyonluk,"Balık, Levrek",
Aşı,Aquavac Vibrio Pasteurella,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,İthal,CZ Veterinaria S.A.,CZ Veterinaria S.A.,Anc Hayvan Beslenmesi Ve Sağlığı Hizm. A.ş,CZ Veterinaria S.A.,1000 ml.,"1 ürün içinde ;1 Vibrio anguillarum, 1 Photobacterium damselae",,enjeksiyonluk,"Balık, Levrek",
İlaç,Aredoks %10,Are Veteriner Hizmetleri Yem İlaç Katkı Maddeleri San. ve Tic.Ltd.Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"1 lt'lik beyaz renkli, aluminyum folyolu HDPE plastik şişelerde",1 ml ürün içinde ;100 mg doksisiklin hiklat,antibakteriyel,oral,"Hindi (Et), Tavuk (Et)",
İlaç,AREDOKS %50,Are Veteriner Hizmetleri Yem İlaç Katkı Maddeleri San. ve Tic.Ltd.Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"1 kg.lık beyaz renkli, tapalı, kilitli kapaklı HDPE plastik kavanozlarda takdim edilir.",1 gr ürün içinde ;500 mg ( baza eş değer ) doksisiklin hiklat,antibakteriyel,oral,"Hindi (Et), Tavuk (Et)",
İlaç,AREKSİTET %50,Are Veteriner Hizmetleri Yem İlaç Katkı Maddeleri San. ve Tic.Ltd.Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"1 kg.lık beyaz renkli, tapalı, kilitli kapaklı HDPE plastik kavanozlarda",1 gr ürün içinde ;500 mg oksitetrasiklin HCl,antibakteriyel,oral,"Hindi (Et), Hindi (Yumurta), Tavuk (Et), Tavuk (Yumurta)",
İlaç,Arelink %40,Are Veteriner Hizmetleri Yem İlaç Katkı Maddeleri San. ve Tic.Ltd.Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,1 kg'lık beyaz renkli tapalı kilitli kapaklı HDPE plastik kavanozlarda,1 gr ürün içinde ;400 mg linkomisin HCl,antibakteriyel,oral,Tavuk (Et),
İlaç,ARELOSİN %100,Are Veteriner Hizmetleri Yem İlaç Katkı Maddeleri San. ve Tic.Ltd.Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"1 kg.lık beyaz renkli, tapalı, kilitli kapaklı HDPE plastik kavanozlarda takdim edilir.",1 gr ürün içinde ;1000 mg tilozin tartarat,antibakteriyel,oral,"Hindi (Et), Tavuk (Yumurta), Tavuk (Et)",
İlaç,AREMİSİN %50,Are Veteriner Hizmetleri Yem İlaç Katkı Maddeleri San. ve Tic.Ltd.Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"1 kg.lık beyaz renkli, tapalı, kilitli kapaklı HDPE plastik kavanozlarda takdim edilir.",1 gr ürün içinde ;500 mg (baza eşdeğer) neomisin sülfat,antibakteriyel,oral,"Hindi (Et), Tavuk (Et), Hindi (Yumurta), Tavuk (Yumurta)",
İlaç,AREMPROL %20,Are Veteriner Hizmetleri Yem İlaç Katkı Maddeleri San. ve Tic.Ltd.Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"1 lt.lik beyaz renkli, alüminyum folyolu HDPE plastik şişelerde",1 ml ürün içinde ;226.15 mg amprolyum HCl,antiprotozoon,oral,"Hindi (Et), Hindi (Yumurta), Tavuk (Et), Tavuk (Yumurta)",
İlaç,ARETİL %25,Are Veteriner Hizmetleri Yem İlaç Katkı Maddeleri San. ve Tic.Ltd.Şti.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"İçinde 480 cc ürün içeren 500 cc.lik amber renkli (tip III) cam şişede, kilitli beyaz plastik kapak ile takdim edilir.",1 ml ürün içinde ;250 mg tilmikosin,antibakteriyel,oral,"Hindi (Et), Tavuk (Et)",
İlaç,ARIFOR,Biyoteknik Kimya San. Ve Tic. A.ş,Yerli,Biyoteknik Kimya San. Ve Tic. A.ş,-,-,-,"Kutu içinde 2, 4, 6, 8, 10, 20 Arıfor pad ihtiva eden alüminyum poşette satışa sunulmuştur.",1 adet pat ürün içinde ;6 g formik asit,ektoparaziter,kovan içi,Arı,
İlaç,ARMAFLOR,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,"20, 50 , 100 ve 250 ml'lik saydam cam şişelerde /karton kutuda",1 ml ürün içinde ;300 mg florfenikol,antibakteriyel,enjeksiyonluk,Sığır(Besi),
İlaç,ARMAGEN %10,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,"20, 50 ve 100 ml'lik kahverengi flakonlarda/karton kutuda",1 ml ürün içinde ;100 mg (baza eşdeğer) gentamisin sülfat,antibakteriyel,enjeksiyonluk,"At, Köpek, Sığır(Süt), Kedi, Sığır(Besi)",
İlaç,ARMAKAL-25,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,100 ml'lik renksiz cam şişelerde/karton kutuda; 250 ml ve 500 ml'lik renksiz serum şişelerinde setli olarak takdim edilmiştir.,"1 ml ürün içinde ;200 mg kalsiyum glukonat, 5 mg kalsiyum d-sakkarat, 45 mg kalsiyum glukoheptonat, 34 mg magnezyum klorür",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Süt), Koyun (Süt), Sığır(Süt), Keçi (Besi), Koyun (Besi), Sığır(Besi)",
İlaç,ARMAKAL-25,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,100 ml'lik renksiz cam şişelerde/karton kutuda; 250 ml ve 500 ml'lik renksiz serum şişelerinde setli olarak takdim edilmiştir.,"1 ml ürün içinde ;200 mg kalsiyum glukonat, 5 mg kalsiyum d-sakkarat, 45 mg kalsiyum glukoheptonat, 34 mg magnezyum klorür",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Süt), Koyun (Süt), Sığır(Süt), Keçi (Besi), Koyun (Besi), Sığır(Besi)",
İlaç,ARMAKAL-25,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,100 ml'lik renksiz cam şişelerde/karton kutuda; 250 ml ve 500 ml'lik renksiz serum şişelerinde setli olarak takdim edilmiştir.,"1 ml ürün içinde ;200 mg kalsiyum glukonat, 5 mg kalsiyum d-sakkarat, 45 mg kalsiyum glukoheptonat, 34 mg magnezyum klorür",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Süt), Koyun (Süt), Sığır(Süt), Keçi (Besi), Koyun (Besi), Sığır(Besi)",
İlaç,ARMAKAL-25,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,100 ml'lik renksiz cam şişelerde/karton kutuda; 250 ml ve 500 ml'lik renksiz serum şişelerinde setli olarak takdim edilmiştir.,"1 ml ürün içinde ;200 mg kalsiyum glukonat, 5 mg kalsiyum d-sakkarat, 45 mg kalsiyum glukoheptonat, 34 mg magnezyum klorür",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Süt), Koyun (Süt), Sığır(Süt), Keçi (Besi), Koyun (Besi), Sığır(Besi)",
İlaç,ARMAKAL-30,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,100 ml'lik renksiz cam şişelerde/karton kutuda; 250 ml ve 500 ml'lik renksiz serum şişelerinde setli olarak takdim edilmiştir.,"1 ml ürün içinde ;210 mg kalsiyum glukonat, 60 mg kalsiyum glukoheptonat, 10 mg kalsiyum d-sakkarat, 20 mg kalsiyum klorür, 40 mg magnezyum klorür, 50 mg dekstroz",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",
İlaç,ARMAKAL-30,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,100 ml'lik renksiz cam şişelerde/karton kutuda; 250 ml ve 500 ml'lik renksiz serum şişelerinde setli olarak takdim edilmiştir.,"1 ml ürün içinde ;210 mg kalsiyum glukonat, 60 mg kalsiyum glukoheptonat, 10 mg kalsiyum d-sakkarat, 20 mg kalsiyum klorür, 40 mg magnezyum klorür, 50 mg dekstroz",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",
İlaç,ARMAKAL-30,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,100 ml'lik renksiz cam şişelerde/karton kutuda; 250 ml ve 500 ml'lik renksiz serum şişelerinde setli olarak takdim edilmiştir.,"1 ml ürün içinde ;210 mg kalsiyum glukonat, 60 mg kalsiyum glukoheptonat, 10 mg kalsiyum d-sakkarat, 20 mg kalsiyum klorür, 40 mg magnezyum klorür, 50 mg dekstroz",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",
İlaç,ARMAKAL-30,Arma İlaç San. Tic. Ltd. Şti.,Yerli,Arma İlaç San. Tic. Ltd. Şti.,-,-,-,100 ml'lik renksiz cam şişelerde/karton kutuda; 250 ml ve 500 ml'lik renksiz serum şişelerinde setli olarak takdim edilmiştir.,"1 ml ürün içinde ;210 mg kalsiyum glukonat, 60 mg kalsiyum glukoheptonat, 10 mg kalsiyum d-sakkarat, 20 mg kalsiyum klorür, 40 mg magnezyum klorür, 50 mg dekstroz",vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Besi), Keçi (Süt), Koyun (Besi), Koyun (Süt), Sığır(Besi), Sığır(Süt)",
